time,open,high,low,close
2013-04-20T00:00:00Z,102.6681775,129.79,102.6681775,122.18
2013-04-21T00:00:00Z,112.4240888,129,101,118.84
2013-04-22T00:00:00Z,115.6320444,125.01,115.6320444,120.915
2013-04-23T00:00:00Z,118.2735222,138.87,118.2735222,130.2525
2013-04-24T00:00:00Z,124.2630111,161,124.2630111,145.57
2013-04-25T00:00:00Z,134.9165055,170.28,123.2,146.345
2013-04-26T00:00:00Z,140.6307528,142.53,126.68,137.1025
2013-04-27T00:00:00Z,138.8666264,148.61,125.76,135.1175
2013-04-28T00:00:00Z,136.9920632,148.18,121.57,133.4575
2013-04-29T00:00:00Z,135.2247816,151.65,123.96,138.5575
2013-04-30T00:00:00Z,136.8911408,144.99,133.89,140.52
2013-05-01T00:00:00Z,138.7055704,140.3,104.9,125.455
2013-05-02T00:00:00Z,132.0802852,132.0802852,93.01,110.9525
2013-05-03T00:00:00Z,121.5163926,121.5163926,81.5,98.65
2013-05-04T00:00:00Z,110.0831963,115.64,94,105.085
2013-05-05T00:00:00Z,107.5840981,118.76,106.5,113.68
2013-05-06T00:00:00Z,110.6320491,123.97,105,114.645
2013-05-07T00:00:00Z,112.6385245,112.95,98.77,108.5975
2013-05-08T00:00:00Z,110.6180123,116.29,109.41,112.445
2013-05-09T00:00:00Z,111.5315061,113.95,109,112.0175
2013-05-10T00:00:00Z,111.7745031,119.98,109.2,114.76
2013-05-11T00:00:00Z,113.2672515,118.5,112.95,116.0975
2013-05-12T00:00:00Z,114.6823758,117.86,113,115.235
2013-05-13T00:00:00Z,114.9586879,117.48,113.55,115.5175
2013-05-14T00:00:00Z,115.2380939,117.9,103.5,111.095
2013-05-15T00:00:00Z,113.166547,113.166547,101.72,107.6675
2013-05-16T00:00:00Z,110.4170235,113.35,108.35,111.0025
2013-05-17T00:00:00Z,110.7097617,118.16,110.7097617,115.2675
2013-05-18T00:00:00Z,112.9886309,118.55,112.9886309,117.635
2013-05-19T00:00:00Z,115.3118154,118.98,114.1,116.9875
2013-05-20T00:00:00Z,116.1496577,118.94,114.03,116.6975
2013-05-21T00:00:00Z,116.4235789,118.56,116.4235789,117.6925
2013-05-22T00:00:00Z,117.0580394,119.48,117,118.21
2013-05-23T00:00:00Z,117.6340197,123.9,117.6340197,121.1375
2013-05-24T00:00:00Z,119.3857599,129.94,119.3857599,126.25
